image_path	label_name	juan_idx	image_num	idx_list
/home/fengcong/chu_bamboo_slips/卷一.files/573_清華一·皇門04.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/42_清華一·皇門03.png	juan.1.39-51.13	1	13	39-51
/home/fengcong/chu_bamboo_slips/卷一.files/87_清華三·說命下08.png	juan.1.57-188.132	1	132	57-188
/home/fengcong/chu_bamboo_slips/卷一.files/157_清華六·管仲16.png	juan.1.57-188.132	1	132	57-188
/home/fengcong/chu_bamboo_slips/卷一.files/443_清華二·繫年044.png	juan.1.442-446.5	1	5	442-446
/home/fengcong/chu_bamboo_slips/卷一.files/1075_清華一·尹至04.png	juan.1.1074-1148.75	1	75	1074-1148
/home/fengcong/chu_bamboo_slips/卷一.files/652_清華二·繫年024.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/714_清華二·繫年104.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/112_清華四·筮法54.png	juan.1.57-188.132	1	132	57-188
/home/fengcong/chu_bamboo_slips/卷一.files/331_清華五·三壽16.png	juan.1.323-337.15	1	15	323-337
/home/fengcong/chu_bamboo_slips/卷一.files/273_清華一·楚居06.png	juan.1.273-274.2	1	2	273-274
/home/fengcong/chu_bamboo_slips/卷一.files/761_清華三·良臣07.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/620_清華一·楚居15.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/60_清華一·金縢09.png	juan.1.57-188.132	1	132	57-188
/home/fengcong/chu_bamboo_slips/卷一.files/308_清華五·三壽20.png	juan.1.275-321.47	1	47	275-321
/home/fengcong/chu_bamboo_slips/卷一.files/792_清華六·子產21.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/43_清華三·琴舞01.png	juan.1.39-51.13	1	13	39-51
/home/fengcong/chu_bamboo_slips/卷一.files/501_清華二·繫年135.png	juan.1.486-535.50	1	50	486-535
/home/fengcong/chu_bamboo_slips/卷一.files/1180_清華六·孺子14 重見623.png	juan.1.1180.1	1	1	1180
/home/fengcong/chu_bamboo_slips/卷一.files/1235_清華三·芮良夫16.png	juan.1.1219-1267.49	1	49	1219-1267
/home/fengcong/chu_bamboo_slips/卷一.files/964_清華六·管仲03.png	juan.1.927-1007.81	1	81	927-1007
/home/fengcong/chu_bamboo_slips/卷一.files/1139_清華七·子犯03.png	juan.1.1074-1148.75	1	75	1074-1148
/home/fengcong/chu_bamboo_slips/卷一.files/186_清華七·越公72.png	juan.1.57-188.132	1	132	57-188
/home/fengcong/chu_bamboo_slips/卷一.files/108_清華二·繫年089.png	juan.1.57-188.132	1	132	57-188
/home/fengcong/chu_bamboo_slips/卷一.files/118_清華五·厚父05.png	juan.1.57-188.132	1	132	57-188
/home/fengcong/chu_bamboo_slips/卷一.files/1014_清華三·芮良夫09.png	juan.1.1014-1025.12	1	12	1014-1025
/home/fengcong/chu_bamboo_slips/卷一.files/1099_清華五·厚父06.png	juan.1.1074-1148.75	1	75	1074-1148
/home/fengcong/chu_bamboo_slips/卷一.files/680_清華二·繫年076.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/987_清華六·管仲24.png	juan.1.927-1007.81	1	81	927-1007
/home/fengcong/chu_bamboo_slips/卷一.files/492_清華一·祭公17.png	juan.1.486-535.50	1	50	486-535
/home/fengcong/chu_bamboo_slips/卷一.files/664_清華二·繫年044.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/233_清華六·子產18.png	juan.1.189-242.54	1	54	189-242
/home/fengcong/chu_bamboo_slips/卷一.files/1228_清華三·芮良夫01.png	juan.1.1219-1267.49	1	49	1219-1267
/home/fengcong/chu_bamboo_slips/卷一.files/985_清華六·管仲20.png	juan.1.927-1007.81	1	81	927-1007
/home/fengcong/chu_bamboo_slips/卷一.files/1061_清華六·子儀19.png	juan.1.1061-1062.2	1	2	1061-1062
/home/fengcong/chu_bamboo_slips/卷一.files/61_清華一·金縢12.png	juan.1.57-188.132	1	132	57-188
/home/fengcong/chu_bamboo_slips/卷一.files/976_清華六·管仲11.png	juan.1.927-1007.81	1	81	927-1007
/home/fengcong/chu_bamboo_slips/卷一.files/986_清華六·管仲21.png	juan.1.927-1007.81	1	81	927-1007
/home/fengcong/chu_bamboo_slips/卷一.files/645_清華二·繫年013.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/1215_清華七·越公31.png	juan.1.1212-1218.7	1	7	1212-1218
/home/fengcong/chu_bamboo_slips/卷一.files/294_清華二·繫年089.png	juan.1.275-321.47	1	47	275-321
/home/fengcong/chu_bamboo_slips/卷一.files/97_清華三·芮良夫03.png	juan.1.57-188.132	1	132	57-188
/home/fengcong/chu_bamboo_slips/卷一.files/31_清華七·子犯09.png	juan.1.1-31.31	1	31	1-31
/home/fengcong/chu_bamboo_slips/卷一.files/861_清華七·越公60.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/352_清華五·厚父13.png	juan.1.346-365.20	1	20	346-365
/home/fengcong/chu_bamboo_slips/卷一.files/1147_清華七·越公58.png	juan.1.1074-1148.75	1	75	1074-1148
/home/fengcong/chu_bamboo_slips/卷一.files/457_清華六·管仲26.png	juan.1.449-460.12	1	12	449-460
/home/fengcong/chu_bamboo_slips/卷一.files/400_清華六·孺子11.png	juan.1.398-400.3	1	3	398-400
/home/fengcong/chu_bamboo_slips/卷一.files/407_清華一·尹至03.png	juan.1.407-426.20	1	20	407-426
/home/fengcong/chu_bamboo_slips/卷一.files/395_清華三·祝辭02.png	juan.1.391-397.7	1	7	391-397
/home/fengcong/chu_bamboo_slips/卷一.files/1009_清華五·三壽04 重見739.png	juan.1.1008-1013.6	1	6	1008-1013
/home/fengcong/chu_bamboo_slips/卷一.files/1255_清華五·三壽07.png	juan.1.1219-1267.49	1	49	1219-1267
/home/fengcong/chu_bamboo_slips/卷一.files/376_清華一·皇門11.png	juan.1.373-390.18	1	18	373-390
/home/fengcong/chu_bamboo_slips/卷一.files/1081_清華一·祭公05.png	juan.1.1074-1148.75	1	75	1074-1148
/home/fengcong/chu_bamboo_slips/卷一.files/753_清華三·琴舞13.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/147_清華五·啻門21.png	juan.1.57-188.132	1	132	57-188
/home/fengcong/chu_bamboo_slips/卷一.files/1186_清華一·祭公13.png	juan.1.1186.1	1	1	1186
/home/fengcong/chu_bamboo_slips/卷一.files/1219_清華一·皇門01.png	juan.1.1219-1267.49	1	49	1219-1267
/home/fengcong/chu_bamboo_slips/卷一.files/839_清華七·越公45.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/787_清華六·管仲23.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/567_清華一·金縢14（背）.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/1011_清華五·三壽16.png	juan.1.1008-1013.6	1	6	1008-1013
/home/fengcong/chu_bamboo_slips/卷一.files/149_清華五·三壽09.png	juan.1.57-188.132	1	132	57-188
/home/fengcong/chu_bamboo_slips/卷一.files/414_清華三·芮良夫01.png	juan.1.407-426.20	1	20	407-426
/home/fengcong/chu_bamboo_slips/卷一.files/1116_清華五·啻門13.png	juan.1.1074-1148.75	1	75	1074-1148
/home/fengcong/chu_bamboo_slips/卷一.files/1026_清華二·繫年019.png	juan.1.1026.1	1	1	1026
/home/fengcong/chu_bamboo_slips/卷一.files/1217_清華七·越公32.png	juan.1.1212-1218.7	1	7	1212-1218
/home/fengcong/chu_bamboo_slips/卷一.files/790_清華六·子儀20.png	juan.1.538-876.339	1	339	538-876
/home/fengcong/chu_bamboo_slips/卷一.files/452_清華五·啻門17.png	juan.1.449-460.12	1	12	449-460
/home/fengcong/chu_bamboo_slips/卷一.files/516_清華六·孺子13.png	juan.1.486-535.50	1	50	486-535
/home/fengcong/chu_bamboo_slips/卷一.files/814_清華七·越公29.png	juan.1.538-876.339	1	339	538-876
